"y1" "y2" "y3" "y4" "y5" "y6" "y7" "y8" "y9" "y10" "surt" "status" "x1" "x2" "rateobs"
"1" 3 0 1 NA NA NA NA NA NA NA 0.318242009464038 1 -0.626453810742332 1 3
"2" 22 16 0 0 0 0 1 7 0 6 0.034668489735124 1 0.183643324222082 0 10
"3" 2 0 0 0 0 0 0 0 0 NA 0.972965736393956 1 -0.835628612410047 1 9
"4" 4 0 10 4 0 1 1 0 0 NA 0.931884058973886 1 1.59528080213779 1 9
"5" 1 1 0 2 2 0 0 1 1 1 1.31764143916027 0 0.329507771815361 1 10
"6" 0 0 NA NA NA NA NA NA NA NA 0.294726831543774 1 -0.820468384118015 1 2
"7" 4 3 0 1 NA NA NA NA NA NA 0.48092235746719 1 0.487429052428485 0 4
"8" 5 0 1 0 0 0 1 1 0 0 1.1824799253707 1 0.738324705129217 1 10
"9" 2 2 1 5 2 1 0 2 1 0 0.0156581814019341 1 0.575781351653492 0 10
"10" 1 0 2 0 0 0 1 1 0 NA 0.932795658636337 1 -0.305388387156356 1 9
"11" 20 0 0 0 0 0 6 0 9 11 0.13176172200277 1 1.51178116845085 1 10
"12" 5 5 0 0 0 2 2 1 3 1 0.159396908007025 1 0.389843236411431 0 10
"13" 0 1 0 1 NA NA NA NA NA NA 0.455065842147292 1 -0.621240580541804 1 4
"14" 1 0 0 0 0 0 0 0 0 0 0.0109140650047834 1 -2.2146998871775 1 10
"15" 1 3 3 1 1 0 0 3 1 1 1.31764143916027 0 1.12493091814311 1 10
"16" 1 1 0 1 2 0 2 0 2 1 0.0335357767643125 1 -0.0449336090152309 0 10
"17" 0 4 NA NA NA NA NA NA NA NA 0.222770357828169 1 -0.0161902630989461 0 2
"18" 6 9 0 5 0 2 0 1 1 0 1.31764143916027 0 0.943836210685299 0 10
"19" 2 0 NA NA NA NA NA NA NA NA 0.223813859619395 1 0.821221195098089 1 2
"20" 1 2 NA NA NA NA NA NA NA NA 0.283769491295881 1 0.593901321217509 1 2
"21" 9 12 NA NA NA NA NA NA NA NA 0.291249963410482 1 0.918977371608218 0 2
"22" 1 5 4 0 1 0 0 1 1 0 0.0431600934789403 1 0.782136300731067 1 10
"23" 1 1 1 1 0 0 1 0 NA NA 0.834539709751783 1 0.0745649833651906 1 8
"24" 1 0 0 0 0 0 0 0 0 0 0.0738088119546944 1 -1.98935169586337 0 10
"25" 0 16 NA NA NA NA NA NA NA NA 0.222590878954277 1 0.61982574789471 0 2
"26" 0 0 NA NA NA NA NA NA NA NA 0.245548197109316 1 -0.0561287395290008 0 2
"27" 3 4 NA NA NA NA NA NA NA NA 0.292285906506509 1 -0.155795506705329 0 2
"28" 1 0 1 0 0 NA NA NA NA NA 0.520437420101777 1 -1.47075238389927 1 5
